index,in,class,name,val_2018_1,val_2018_2,val_2018_3,val_2018_4,val_2019_1,val_2019_2,val_2019_3,val_2019_4
99,경기도군포시,시장,한대희,173000,609711,3270,46006,173000,644968,3270,41483
100,경기도김포시,시장,정하영,1144317,41668,8351,1246908,1144317,32253,8351,1242989
101,경기도남양주시,시장,조광한,655913,1397252,0,0,699913,1358550,7880,31728
102,경기도동두천시,시장,최용덕,639098,327086,17258,222058,640098,408590,17258,200000
103,경기도부천시,시장,장덕천,249000,391496,0,158000,249000,580523,26603,358000
104,경기도성남시,시장,은수미,410000,192158,0,410000,410000,319116,0,300000
105,경기도수원시,시장,염태영,1009773,307632,34750,100000,1225089,541153,25830,147378
106,경기도시흥시,시장,임병택,353006,294988,19200,65430,483777,242597,8820,35430
107,경기도안산시,시장,윤화섭,538638,352329,7322,626211,543639,303712,13000,371221
108,경기도안성시,시장,우석제,2987757,573633,11270,1176905,3101024,594000,10274,1116430
109,경기도안양시,시장,최대호,1968548,4435943,336240,1614897,1976445,4458583,195061,1268443
110,경기도양주시,시장,이성호,169000,410392,46227,117609,172000,381702,97787,102766
111,경기도양평군,군수,정동균,1862003,438069,212533,605241,1920800,147068,66853,578355
112,경기도여주시,시장,이항진,68278,87837,2361,64330,65312,44297,2098,88674
113,경기도연천군,군수,김광철,588589,62172,19000,271859,596349,77276,11522,271600
114,경기도오산시,시장,곽상욱,180000,336521,14671,58476,180000,365507,14671,144344
115,경기도용인시,시장,백군기,4162022,534306,92098,1466567,3582022,668914,80931,1496567
116,경기도의왕시,시장,김상돈,2197266,1097233,417200,353000,2360898,1599485,232934,379572
117,경기도의정부시,시장,안병용,316000,485649,16830,168000,316000,547361,975,147840
118,경기도의회,의원,강태형,188000,37132,2020,171264,60000,34470,2020,79842
119,경기도의회,의원,고은정,169897,101137,3200,41700,169897,107046,25000,63095
120,경기도의회,의원,고찬석,313880,352262,25580,77003,316383,406549,27500,66393
121,경기도의회,의원,국중범,131577,81200,9000,40582,134106,129647,8500,43913
122,경기도의회,의원,국중현,889117,54754,20000,248000,684363,593431,20000,358585
123,경기도의회,의원,권락용,1090000,235210,0,520000,1204700,218916,0,600000
124,경기도의회,의원,권재형,208000,25827,10000,240041,204000,66903,37620,264438
125,경기도의회,의원,권정선,997274,107195,5910,712000,1077274,97924,5030,745000
126,경기도의회,의원,김강식,291000,126580,2041,281780,291000,164284,40570,289559
127,경기도의회,의원,김경근,350056,68869,44200,276061,350056,134876,44325,310410
128,경기도의회,의원,김경일,40000,0,8610,0,57597,61111,8610,27740
129,경기도의회,의원,김경호,101230,163591,45869,138869,320780,252508,35859,125171
130,경기도의회,의원,김경희,290000,297160,4660,27804,290000,84533,4000,27804
131,경기도의회,의원,김규창,858097,122968,46720,409134,929394,91903,99770,401874
132,경기도의회,의원,김달수,372205,93170,34000,92935,428160,102250,27800,121372
133,경기도의회,의원,김동철,5000,3694,13453,118153,5000,10961,13453,88245
134,경기도의회,의원,김명원,526000,95395,13000,340900,526000,152191,11000,338658
135,경기도의회,의원,김미리,369000,37336,0,310000,450000,42429,3110,487252
136,경기도의회,의원,김미숙,2734220,1099101,50600,775000,2734220,1183469,50600,775000
137,경기도의회,의원,김봉균,158104,180730,12000,120830,158104,173490,24000,197463
138,경기도의회,의원,김성수,261152,111471,5990,269451,300355,91476,2800,281859
139,경기도의회,의원,김영준,20000,31418,2000,22252,34940,56081,2000,19734
140,경기도의회,의원,김영해,21339,135290,12150,17323,21339,151316,10340,21134
141,경기도의회,의원,김용성,306890,219049,20800,137093,318890,166463,19300,135314
142,경기도의회,의원,김용찬,2690451,247073,18860,1942162,2588617,124430,18360,1832511
143,경기도의회,의원,김우석,147523,13509,26490,52202,249365,10270,18220,71816
144,경기도의회,의원,김원기,182420,298225,500,142420,324840,158599,500,269720
145,경기도의회,의원,김은주,305823,294894,36341,71565,305823,275131,36341,71288
146,경기도의회,의원,김인순,6918257,654181,83420,4146652,6871537,807302,83420,3936897
147,경기도의회,의원,김인영,2116610,225210,14200,66498,2116610,297677,14200,31402
148,경기도의회,의원,김장일,1695639,230847,33750,30000,1781158,449100,33750,46500
149,경기도의회,의원,김재균,61700,37556,9507,30592,64500,76752,2773,20245
150,경기도의회,의원,김종배,2431298,2074925,30000,615405,2553141,2213898,82860,703803
151,경기도의회,의원,김종찬,698000,140925,6570,739997,735000,172374,6220,769843
152,경기도의회,의원,김중식,551954,618713,48277,432869,553953,674738,48277,475768
153,경기도의회,의원,김지나,397000,105127,9660,257007,397000,129760,30980,265691
154,경기도의회,의원,김직란,1056868,357521,55970,504895,1025868,390551,53750,507782
155,경기도의회,의원,김진일,798000,125067,17960,434111,798000,124897,28960,526832
156,경기도의회,의원,김철환,317245,166418,26000,324601,302245,170635,25240,313640
157,경기도의회,의원,김태형,564800,332178,45035,186985,643120,265392,37260,150929
158,경기도의회,의원,김판수,2592931,880990,64780,1894535,2592931,778301,64780,1820640
159,경기도의회,의원,김현삼,383680,37060,6390,236366,376083,44988,5490,207717
160,경기도의회,의원,남운선,333000,404652,0,290000,180000,843833,0,20000
161,경기도의회,의원,남종섭,289678,74142,4000,112454,294558,86611,31800,163298
162,경기도의회,의원,문경희,322352,166498,22644,90000,328566,186057,22644,85000
163,경기도의회,의원,문형근,4700865,167994,49620,3585833,4761894,234047,49620,3770951
164,경기도의회,의원,민경선,430455,400776,2000,0,1240715,64334,1000,454000
165,경기도의회,의원,박관열,33778,7308,12400,9886,33778,5697,12398,0
166,경기도의회,의원,박근철,318000,433049,63466,48901,323000,582691,20693,43353
167,경기도의회,의원,박덕동,1469526,654488,0,334790,1747172,674347,0,527106
168,경기도의회,의원,박성훈,557000,73024,12300,381152,808000,41334,15520,588432
169,경기도의회,의원,박세원,92600,45739,59000,88740,92600,63795,59000,71740
170,경기도의회,의원,박옥분,318000,415133,22940,0,425000,459131,19950,0
171,경기도의회,의원,박윤영,1533678,227625,13470,588395,1548484,212671,13130,647871
172,경기도의회,의원,박재만,2608941,133126,12593,2039468,2597918,137357,10631,2106410
173,경기도의회,의원,박창순,92183,196460,10400,60000,113755,183246,12400,30000
174,경기도의회,의원,박태희,137000,150207,32700,130610,122000,170198,30260,117342
175,경기도의회,의원,방재율,1600000,214933,41290,1199320,1680000,225671,40890,1215034
176,경기도의회,의원,배수문,410000,94223,20000,261106,410000,105289,17000,267931
177,경기도의회,의원,백승기,68470,257310,65280,237296,68470,236378,65280,215410
178,경기도의회,의원,서현옥,98161,77156,22504,50120,92510,98354,21204,92008
179,경기도의회,의원,서형열,120000,116568,6000,60550,473742,260166,10000,462239
180,경기도의회,의원,성수석,420044,342464,30250,215412,420044,338266,30250,212646
181,경기도의회,의원,성준모,1268020,394785,22850,839030,1338562,349632,19850,833426
182,경기도의회,의원,소영환,424000,128664,3000,155063,691815,117597,2800,95423
183,경기도의회,의원,손희정,629000,67644,6440,483077,686000,50126,5400,561838
184,경기도의회,의원,송영만,1794422,217485,56224,1463851,1784670,225266,56224,1232841
185,경기도의회,의원,송치용,294800,1348808,53880,735863,299242,1321492,64950,612518
186,경기도의회,의원,신정현,365000,91064,0,226816,234000,96606,0,225931
187,경기도의회,의원,심규순,296752,195104,50452,131033,288821,222333,60538,116324
188,경기도의회,의원,심민자,10000,48394,16000,11130,30000,53602,16000,31671
189,경기도의회,의원,안광률,706418,282280,7050,88418,708210,363164,7050,86144
190,경기도의회,의원,안기권,158897,68012,8990,213857,159897,62686,7990,190059
191,경기도의회,의원,안혜영,672196,370037,12260,163330,667254,396101,9930,170830
192,경기도의회,의원,양경석,1515348,247028,7812,229479,1558204,263800,16834,226197
193,경기도의회,의원,양운석,168811,201734,16480,200802,168811,78837,43190,171474
194,경기도의회,의원,양철민,1810000,258228,121370,681685,1810000,346026,55130,679325
195,경기도의회,의원,엄교섭,583662,317316,35602,736505,653857,420360,36240,852362
196,경기도의회,의원,염종현,336000,171600,18668,108181,353000,180687,12500,76962
197,경기도의회,의원,오광덕,82479,77826,35000,117502,89809,73745,53090,130117
198,경기도의회,의원,오명근,1889585,1501935,26579,83671,2216394,1831476,71579,576666
199,경기도의회,의원,오지혜,207394,87069,107210,184177,214394,87400,54187,130776
200,경기도의회,의원,오진택,57000,117157,73600,234311,57000,130342,79724,216298
201,경기도의회,의원,왕성옥,90000,63734,8000,170760,90000,29612,14050,115250
202,경기도의회,의원,원미정,370656,52134,17800,98798,371320,52177,17800,97000
203,경기도의회,의원,원용희,30000,403134,2700,17004,30000,400219,2700,11661
204,경기도의회,의원,유광국,432187,156055,40390,119010,432187,168951,40390,104435
205,경기도의회,의원,유광혁,203000,149939,25400,180057,203000,144886,5920,86313
206,경기도의회,의원,유근식,697000,0,8000,0,589224,151635,98095,281079
207,경기도의회,의원,유상호,382266,41261,54200,287185,299169,330153,32506,259940
208,경기도의회,의원,유영호,373000,462262,42770,65000,373000,472893,35080,11500
209,경기도의회,의원,윤용수,163259,143090,6560,39024,163259,140785,8660,37239
210,경기도의회,의원,이기형,1071082,97819,28880,270585,1071082,95852,24920,236031
211,경기도의회,의원,이나영,0,2916,21690,76294,0,7111,16630,61322
